# 5
S.sname,S.age,S.sid,R.sid,B.bcolor
T,44,4477,4477,blue
I,27,1558,1558,blue
B,56,6491,6491,blue
L,39,109,109,blue
M,32,8308,8308,blue
F,52,1523,1523,blue
I,38,7389,7389,blue
C,23,2177,2177,blue
S,54,7016,7016,blue
W,30,5309,5309,blue
S,50,393,393,blue
X,57,9882,9882,blue
K,34,6212,6212,blue
F,24,4139,4139,blue
S,37,878,878,blue
J,48,531,531,blue
Z,54,7575,7575,blue
L,30,5422,5422,blue
L,30,6864,6864,blue
A,57,3383,3383,blue
C,55,5425,5425,blue
X,55,6958,6958,blue
R,60,8778,8778,blue
Z,42,8408,8408,blue
C,44,7198,7198,blue
V,23,301,301,blue
R,67,1096,1096,blue
V,23,3921,3921,blue
C,44,238,238,blue
T,29,8040,8040,blue
Q,27,7017,7017,blue
M,25,896,896,blue
E,64,194,194,blue
D,69,2168,2168,blue
I,37,1398,1398,blue
M,51,1032,1032,blue
M,51,3886,3886,blue
E,20,7090,7090,blue
J,23,9430,9430,blue
Y,51,2949,2949,blue
X,62,9632,9632,blue
J,23,1412,1412,blue
Y,51,7529,7529,blue
Q,40,6840,6840,blue
Y,69,7653,7653,blue
E,43,292,292,blue
Q,59,9721,9721,blue
V,50,286,286,blue
G,56,1376,1376,blue
P,26,7483,7483,blue
V,35,7645,7645,blue
S,62,3598,3598,blue
W,69,3622,3622,blue
F,65,5416,5416,blue
W,69,6854,6854,blue
O,53,3485,3485,blue
M,24,2533,2533,blue
Z,29,84,84,blue
B,69,3220,3220,blue
B,58,1624,1624,blue
D,46,900,900,blue
B,49,1734,1734,blue
K,53,1160,1160,blue
V,28,4728,4728,blue
M,44,2778,2778,blue
H,60,1324,1324,blue
P,37,3655,3655,blue
S,29,7884,7884,blue
E,25,107,107,blue
G,30,3937,3937,blue
U,27,1641,1641,blue
K,65,3328,3328,blue
N,58,3489,3489,blue
A,43,4143,4143,blue
Z,50,6001,6001,blue
L,50,5787,5787,blue
V,60,3616,3616,blue
G,39,1153,1153,blue
O,37,9657,9657,blue
O,37,2759,2759,blue
P,24,6596,6596,blue
Q,41,432,432,blue
S,36,7813,7813,blue
K,38,5033,5033,blue
Y,34,2743,2743,blue
X,58,6247,6247,blue
T,30,9380,9380,blue
Q,32,6301,6301,blue
U,65,4371,4371,blue
C,36,8,8,blue
F,67,9977,9977,blue
I,68,4549,4549,blue
S,43,8795,8795,blue
T,31,7787,7787,blue
L,44,8431,8431,blue
V,26,452,452,blue
M,31,813,813,blue
O,54,6014,6014,blue
D,43,5324,5324,blue
E,51,1584,1584,blue
N,69,1761,1761,blue
B,54,4130,4130,blue
B,29,1330,1330,blue
A,65,934,934,blue
M,52,4653,4653,blue
O,29,2622,2622,blue
O,29,7222,7222,blue
O,29,686,686,blue
U,30,1907,1907,blue
H,26,3125,3125,blue
O,59,7375,7375,blue
T,24,4462,4462,blue
S,38,9404,9404,blue
J,47,4411,4411,blue
T,67,5801,5801,blue
Z,60,4801,4801,blue
P,68,9844,9844,blue
E,60,1213,1213,blue
N,28,4862,4862,blue
N,34,8422,8422,blue
W,59,9443,9443,blue
Q,24,5243,5243,blue
V,20,5946,5946,blue
B,44,8998,8998,blue
P,45,446,446,blue
R,23,9448,9448,blue
V,25,4322,4322,blue
A,67,1455,1455,blue
Y,30,8300,8300,blue
M,41,778,778,blue
B,41,7109,7109,blue
H,21,1186,1186,blue
T,61,3407,3407,blue
S,57,3254,3254,blue
M,61,1392,1392,blue
F,66,465,465,blue
Q,33,6207,6207,blue
S,37,913,913,blue
U,21,5610,5610,blue
B,25,9901,9901,blue
D,52,2600,2600,blue
P,67,3030,3030,blue
B,21,5499,5499,blue
A,36,5694,5694,blue
D,48,9711,9711,blue
Z,36,280,280,blue
C,55,318,318,blue
A,54,2528,2528,blue
K,35,288,288,blue
J,29,4023,4023,blue
Z,38,4879,4879,blue
L,46,5530,5530,blue
H,53,2698,2698,blue
I,40,485,485,blue
Y,37,7493,7493,blue
O,48,9148,9148,blue
L,57,9391,9391,blue
E,49,1129,1129,blue
W,64,646,646,blue
Q,54,611,611,blue
P,47,4890,4890,blue
O,26,6191,6191,blue
P,35,9517,9517,blue
A,27,4269,4269,blue
Q,64,3213,3213,blue
I,55,3164,3164,blue
H,35,71,71,blue
S,26,4369,4369,blue
Q,25,1554,1554,blue
V,55,9070,9070,blue
P,51,2714,2714,blue
Q,44,2464,2464,blue
K,21,4442,4442,blue
J,69,2198,2198,blue
F,55,2697,2697,blue
Z,48,2456,2456,blue
W,34,6105,6105,blue
S,55,4376,4376,blue
C,56,5397,5397,blue
D,35,3106,3106,blue
G,51,5858,5858,blue
D,44,2684,2684,blue
J,30,9223,9223,blue
H,44,1386,1386,blue
G,51,8394,8394,blue
Q,38,9324,9324,blue
N,30,5159,5159,blue
J,40,4619,4619,blue
W,51,54,54,blue
A,49,2887,2887,blue
F,32,5498,5498,blue
E,25,9902,9902,blue
U,48,996,996,blue
H,25,6144,6144,blue
G,64,6587,6587,blue
K,69,5628,5628,blue
F,54,9265,9265,blue
R,33,4013,4013,blue
B,47,7789,7789,blue
Y,50,7045,7045,blue
K,47,7442,7442,blue
M,65,6283,6283,blue
R,20,7753,7753,blue
H,38,4281,4281,blue
W,41,1561,1561,blue
V,60,2693,2693,blue
P,50,6307,6307,blue
L,54,1285,1285,blue
V,56,9222,9222,blue
M,59,1243,1243,blue
Y,55,4655,4655,blue
C,58,4155,4155,blue
X,58,8860,8860,blue
M,21,5270,5270,blue
C,54,6033,6033,blue
C,47,7588,7588,blue
D,33,3174,3174,blue
E,57,1654,1654,blue
Q,32,2854,2854,blue
C,36,9995,9995,blue
Y,45,7430,7430,blue
C,42,7466,7466,blue
T,31,4688,4688,blue
S,45,2360,2360,blue
X,38,7855,7855,blue
R,52,4431,4431,blue
A,64,7172,7172,blue
Q,65,6295,6295,blue
G,48,9580,9580,blue
L,22,3757,3757,blue
T,37,6839,6839,blue
D,43,8719,8719,blue
O,64,2125,2125,blue
V,27,5104,5104,blue
E,45,7143,7143,blue
G,42,8969,8969,blue
E,28,2398,2398,blue
M,52,762,762,blue
G,46,5118,5118,blue
D,49,8536,8536,blue
E,28,6094,6094,blue
O,44,9286,9286,blue
B,38,5588,5588,blue
G,37,9006,9006,blue
F,49,3482,3482,blue
E,24,3103,3103,blue
R,29,2634,2634,blue
H,45,9360,9360,blue
H,30,3431,3431,blue
J,67,7679,7679,blue
F,27,2202,2202,blue
Q,47,8530,8530,blue
M,26,4723,4723,blue
W,20,341,341,blue
Z,53,1299,1299,blue
L,29,7892,7892,blue
F,43,2243,2243,blue
F,43,1887,1887,blue
O,57,5682,5682,blue
Q,51,8774,8774,blue
C,25,2961,2961,blue
V,36,7984,7984,blue
H,58,323,323,blue
H,62,2127,2127,blue
W,59,7656,7656,blue
I,47,7310,7310,blue
S,66,690,690,blue
Q,28,73,73,blue
B,40,8906,8906,blue
Y,26,5019,5019,blue
D,25,8647,8647,blue
A,67,6290,6290,blue
T,38,7945,7945,blue
A,24,367,367,blue
Y,48,1836,1836,blue
Z,63,8921,8921,blue
A,45,4357,4357,blue
C,57,5713,5713,blue
F,62,47,47,blue
S,57,5997,5997,blue
X,46,9427,9427,blue
U,38,8780,8780,blue
Q,56,8765,8765,blue
D,48,5230,5230,blue
Y,47,2092,2092,blue
D,57,5747,5747,blue
A,50,3082,3082,blue
A,50,1738,1738,blue
N,45,657,657,blue
H,49,5863,5863,blue
D,41,2628,2628,blue
N,23,3432,3432,blue
J,35,6766,6766,blue
E,64,804,804,blue
D,69,9068,9068,blue
V,30,3531,3531,blue
A,27,1208,1208,blue
A,38,156,156,blue
R,44,4227,4227,blue
B,32,471,471,blue
X,60,3728,3728,blue
O,58,8894,8894,blue
G,33,2109,2109,blue
H,40,7791,7791,blue
W,69,1356,1356,blue
T,66,4601,4601,blue
H,44,319,319,blue
E,48,5177,5177,blue
F,69,8963,8963,blue
O,53,7245,7245,blue
N,26,5483,5483,blue
L,27,5378,5378,blue
B,69,9874,9874,blue
W,56,1647,1647,blue
T,46,9909,9909,blue
X,37,514,514,blue
A,28,7910,7910,blue
Y,23,9073,9073,blue
P,56,6393,6393,blue
L,43,7963,7963,blue
P,60,8440,8440,blue
J,21,7283,7283,blue
H,25,1085,1085,blue
F,50,5221,5221,blue
J,62,2983,2983,blue
F,60,2181,2181,blue
R,33,6950,6950,blue
V,68,148,148,blue
D,68,8542,8542,blue
B,30,1035,1035,blue
Z,57,329,329,blue
A,26,1328,1328,blue
R,20,5598,5598,blue
X,69,8588,8588,blue
N,41,6333,6333,blue
G,39,1135,1135,blue
M,59,348,348,blue
Q,41,2310,2310,blue
H,43,9731,9731,blue
E,57,6901,6901,blue
Y,59,192,192,blue
F,29,3769,3769,blue
C,36,350,350,blue
W,63,2005,2005,blue
U,20,454,454,blue
X,42,3960,3960,blue
H,66,2564,2564,blue
Q,48,1692,1692,blue
W,61,6877,6877,blue
W,61,8523,8523,blue
Q,30,4185,4185,blue
S,64,6842,6842,blue
G,21,2935,2935,blue
V,31,9716,9716,blue
I,63,9264,9264,blue
U,26,8442,8442,blue
U,35,3225,3225,blue
O,59,625,625,blue
W,32,6589,6589,blue
K,32,997,997,blue
J,47,8965,8965,blue
Q,35,5704,5704,blue
Z,56,1632,1632,blue
Q,62,4132,4132,blue
W,67,1079,1079,blue
N,63,3069,3069,blue
R,66,6653,6653,blue
Q,53,1046,1046,blue
L,29,8401,8401,blue
J,38,4727,4727,blue
E,56,4320,4320,blue
U,49,2799,2799,blue
C,35,6533,6533,blue
W,59,2543,2543,blue
R,64,5141,5141,blue
R,64,3669,3669,blue
W,55,7722,7722,blue
P,41,515,515,blue
W,55,6486,6486,blue
A,25,3478,3478,blue
B,39,5527,5527,blue
Y,26,6408,6408,blue
B,39,3899,3899,blue
R,35,2848,2848,blue
K,41,7275,7275,blue
X,57,2079,2079,blue
S,57,4368,4368,blue
C,46,9971,9971,blue
S,37,8897,8897,blue
L,52,2790,2790,blue
Z,47,5529,5529,blue
R,42,3602,3602,blue
Q,60,560,560,blue
T,43,8996,8996,blue
E,33,1924,1924,blue
X,44,526,526,blue
Y,37,6701,6701,blue
E,53,386,386,blue
W,53,103,103,blue
U,43,424,424,blue
B,66,791,791,blue
W,64,6240,6240,blue
J,35,5017,5017,blue
W,44,3056,3056,blue
G,24,7667,7667,blue
T,32,9940,9940,blue
T,32,3570,3570,blue
L,32,2022,2022,blue
H,35,9337,9337,blue
F,39,8194,8194,blue
G,23,7920,7920,blue
Q,68,8696,8696,blue
E,26,1226,1226,blue
Q,40,193,193,blue
I,57,9109,9109,blue
V,55,706,706,blue
O,42,3116,3116,blue
H,24,6530,6530,blue
F,55,6219,6219,blue
H,28,4467,4467,blue
B,32,2074,2074,blue
G,45,3773,3773,blue
V,62,9646,9646,blue
G,33,9674,9674,blue
K,40,3018,3018,blue
O,62,7268,7268,blue
L,21,5676,5676,blue
Y,60,2333,2333,blue
G,55,244,244,blue
F,69,2420,2420,blue
N,30,4113,4113,blue
L,31,3648,3648,blue
X,27,9465,9465,blue
W,51,2088,2088,blue
N,21,1589,1589,blue
G,69,3873,3873,blue
M,53,6733,6733,blue
F,32,8524,8524,blue
G,30,8766,8766,blue
U,61,598,598,blue
J,62,3770,3770,blue
G,68,6129,6129,blue
R,33,7115,7115,blue
V,64,2774,2774,blue
C,69,2138,2138,blue
U,25,8039,8039,blue
C,54,2289,2289,blue
V,33,6020,6020,blue
N,48,5495,5495,blue
X,32,1701,1701,blue
R,65,6370,6370,blue
Z,44,4439,4439,blue
A,58,7317,7317,blue
A,64,4246,4246,blue
X,20,1227,1227,blue
D,47,174,174,blue
P,59,5231,5231,blue
Q,69,770,770,blue
F,38,6686,6686,blue
J,26,3520,3520,blue
S,68,4309,4309,blue
L,51,6813,6813,blue
M,47,7067,7067,blue
L,55,2990,2990,blue
A,65,6345,6345,blue
Q,31,91,91,blue
X,45,5980,5980,blue
M,68,509,509,blue
S,38,1925,1925,blue
Q,35,3637,3637,blue
Y,32,5463,5463,blue
W,25,599,599,blue
Q,62,7503,7503,blue
Z,56,6337,6337,blue
N,50,3610,3610,blue
D,22,1041,1041,blue
I,66,4341,4341,blue
O,38,2810,2810,blue
B,60,7900,7900,blue
P,29,4830,4830,blue
N,38,7983,7983,blue
R,61,4096,4096,blue
G,65,8070,8070,blue
V,67,6230,6230,blue
F,52,5583,5583,blue
R,28,2718,2718,blue
S,24,4551,4551,blue
W,30,2813,2813,blue
W,39,1434,1434,blue
D,62,5574,5574,blue
T,27,5838,5838,blue
K,62,6169,6169,blue
Q,37,769,769,blue
Z,58,6805,6805,blue
M,66,4652,4652,blue
V,52,7901,7901,blue
J,45,83,83,blue
D,48,4088,4088,blue
R,55,5577,5577,blue
H,63,2947,2947,blue
D,61,4238,4238,blue
S,60,9891,9891,blue
H,46,8569,8569,blue
A,56,6052,6052,blue
F,30,8043,8043,blue
P,46,9750,9750,blue
I,40,206,206,blue
G,50,9997,9997,blue
U,43,537,537,blue
P,47,5915,5915,blue
I,41,6447,6447,blue
R,21,5066,5066,blue
E,27,6554,6554,blue
O,30,3680,3680,blue
X,21,7412,7412,blue
N,67,5686,5686,blue
J,23,8648,8648,blue
E,27,6006,6006,blue
Y,28,406,406,blue
T,36,50,50,blue
U,54,6867,6867,blue
T,32,2879,2879,blue
L,59,5544,5544,blue
P,51,2519,2519,blue
Q,44,5635,5635,blue
E,22,9968,9968,blue
K,21,8881,8881,blue
A,21,4869,4869,blue
Q,59,6323,6323,blue
I,28,5155,5155,blue
I,28,8675,8675,blue
V,62,7661,7661,blue
E,59,1275,1275,blue
L,21,9305,9305,blue
P,30,2766,2766,blue
V,44,1951,1951,blue
U,59,4860,4860,blue
X,49,3619,3619,blue
X,49,9019,9019,blue
F,69,6449,6449,blue
O,63,7259,7259,blue
V,34,4757,4757,blue
N,26,6693,6693,blue
E,54,1040,1040,blue
W,56,3101,3101,blue
B,49,6962,6962,blue
C,37,2849,2849,blue
B,49,7058,7058,blue
G,69,6804,6804,blue
B,49,6018,6018,blue
F,23,4110,4110,blue
R,63,1574,1574,blue
Q,67,6689,6689,blue
J,21,5725,5725,blue
F,50,2501,2501,blue
J,21,4165,4165,blue
T,53,8985,8985,blue
K,26,697,697,blue
A,30,3999,3999,blue
C,63,3182,3182,blue
V,64,5941,5941,blue
A,32,9419,9419,blue
G,35,3572,3572,blue
E,23,289,289,blue
Q,20,3993,3993,blue
D,56,8457,8457,blue
I,48,2687,2687,blue
N,68,4736,4736,blue
M,21,8115,8115,blue
U,25,370,370,blue
K,63,356,356,blue
S,36,245,245,blue
Y,59,2434,2434,blue
J,56,7127,7127,blue
X,43,6597,6597,blue
X,43,4865,4865,blue
J,53,1789,1789,blue
R,62,8356,8356,blue
Y,59,8466,8466,blue
F,67,9261,9261,blue
Q,45,9825,9825,blue
C,42,9619,9619,blue
S,45,5667,5667,blue
F,34,1802,1802,blue
F,38,5981,5981,blue
T,56,1784,1784,blue
B,63,3560,3560,blue
U,42,4497,4497,blue
W,57,527,527,blue
L,60,7204,7204,blue
N,69,4403,4403,blue
C,68,3260,3260,blue
U,37,4298,4298,blue
S,65,3715,3715,blue
V,49,4805,4805,blue
M,48,7938,7938,blue
G,37,5471,5471,blue
K,23,2895,2895,blue
K,61,1949,1949,blue
A,42,4714,4714,blue
Z,56,5794,5794,blue
E,50,7506,7506,blue
A,39,9698,9698,blue
Q,49,9624,9624,blue
W,25,932,932,blue
V,22,6976,6976,blue
P,68,2744,2744,blue
R,45,9024,9024,blue
G,36,6931,6931,blue
N,54,1321,1321,blue
B,60,6171,6171,blue
N,34,178,178,blue
L,35,4054,4054,blue
N,34,7774,7774,blue
N,38,5476,5476,blue
Z,33,4637,4637,blue
K,51,7902,7902,blue
Z,26,3833,3833,blue
Y,64,6608,6608,blue
T,22,5673,5673,blue
A,29,4927,4927,blue
G,65,6755,6755,blue
Z,33,7613,7613,blue
B,57,6824,6824,blue
V,67,9569,9569,blue
I,30,4988,4988,blue
A,22,1524,1524,blue
T,34,5948,5948,blue
I,34,1651,1651,blue
B,35,4084,4084,blue
F,37,8377,8377,blue
V,66,2225,2225,blue
N,56,8027,8027,blue
H,21,9670,9670,blue
T,61,3293,3293,blue
P,48,5953,5953,blue
Q,33,5433,5433,blue
M,57,9849,9849,blue
U,38,9405,9405,blue
H,63,2926,2926,blue
E,37,9165,9165,blue
L,64,3368,3368,blue
H,42,4737,4737,blue
O,36,6414,6414,blue
P,42,3249,3249,blue
M,29,8846,8846,blue
E,53,8346,8346,blue
S,69,99,99,blue
B,51,1317,1317,blue
E,64,8851,8851,blue
P,47,2894,2894,blue
D,30,510,510,blue
P,35,8593,8593,blue
Y,24,6340,6340,blue
N,67,7061,7061,blue
S,53,4646,4646,blue
X,62,669,669,blue
O,21,3968,3968,blue
U,41,7428,7428,blue
Q,44,5338,5338,blue
W,21,1601,1601,blue
O,47,1379,1379,blue
A,63,3388,3388,blue
D,62,4486,4486,blue
A,59,6081,6081,blue
Y,53,7235,7235,blue
G,51,2414,2414,blue
M,28,3892,3892,blue
J,30,6787,6787,blue
U,59,8709,8709,blue
P,21,3423,3423,blue
U,59,6249,6249,blue
Q,34,3957,3957,blue
N,26,5668,5668,blue
D,46,2915,2915,blue
N,30,8475,8475,blue
O,51,3281,3281,blue
D,28,5437,5437,blue
Z,39,6895,6895,blue
K,49,9883,9883,blue
I,62,8180,8180,blue
S,29,8389,8389,blue
P,62,6024,6024,blue
L,47,5971,5971,blue
Y,27,8891,8891,blue
R,30,1745,1745,blue
K,65,7125,7125,blue
W,50,7906,7906,blue
Z,61,335,335,blue
R,33,3009,3009,blue
N,62,3115,3115,blue
M,65,6099,6099,blue
V,64,7112,7112,blue
N,53,9927,9927,blue
U,32,1391,1391,blue
O,33,6085,6085,blue
I,52,9531,9531,blue
M,59,5383,5383,blue
D,37,8000,8000,blue
J,60,9487,9487,blue
T,26,3938,3938,blue
V,33,4632,4632,blue
D,33,5282,5282,blue
O,60,5294,5294,blue
T,64,2989,2989,blue
U,65,4606,4606,blue
R,43,5016,5016,blue
Z,30,1200,1200,blue
Y,39,1138,1138,blue
V,21,5617,5617,blue
N,43,6522,6522,blue
H,66,5569,5569,blue
Y,43,8350,8350,blue
H,59,8253,8253,blue
J,27,8753,8753,blue
V,26,4539,4539,blue
D,26,3361,3361,blue
Y,66,2241,2241,blue
N,69,7846,7846,blue
Z,21,6344,6344,blue
L,51,4791,4791,blue
P,34,7550,7550,blue
A,65,8127,8127,blue
M,52,4094,4094,blue
U,26,347,347,blue
P,61,5032,5032,blue
B,38,3750,3750,blue
K,36,9817,9817,blue
O,59,6760,6760,blue
B,34,4197,4197,blue
H,48,6032,6032,blue
B,65,6883,6883,blue
P,23,4684,4684,blue
Y,20,4665,4665,blue
O,61,881,881,blue
W,58,2650,2650,blue
W,58,9508,9508,blue
J,20,7640,7640,blue
K,55,5721,5721,blue
Z,33,5958,5958,blue
H,62,8275,8275,blue
D,20,3559,3559,blue
A,29,8448,8448,blue
I,43,4577,4577,blue
P,32,3059,3059,blue
G,41,7598,7598,blue
A,67,1464,1464,blue
B,35,3035,3035,blue
G,41,8786,8786,blue
K,41,7054,7054,blue
X,57,5514,5514,blue
Y,63,7185,7185,blue
I,54,2224,2224,blue
Z,69,2704,2704,blue
J,48,2273,2273,blue
A,40,4469,4469,blue
O,41,2039,2039,blue
A,61,1336,1336,blue
R,42,2351,2351,blue
V,48,1320,1320,blue
C,34,7500,7500,blue
F,20,8255,8255,blue
Y,47,6416,6416,blue
G,38,2641,2641,blue
K,35,4365,4365,blue
Y,33,2888,2888,blue
P,42,8420,8420,blue
C,40,8160,8160,blue
K,56,6047,6047,blue
L,37,2731,2731,blue
B,55,849,849,blue
P,47,1095,1095,blue
A,31,8589,8589,blue
X,28,7732,7732,blue
D,65,6953,6953,blue
C,24,2135,2135,blue
Q,64,7888,7888,blue
E,20,3040,3040,blue
C,21,2391,2391,blue
Y,51,1673,1673,blue
G,23,6819,6819,blue
Z,64,7614,7614,blue
P,63,310,310,blue
L,63,9633,9633,blue
T,48,210,210,blue
H,24,3329,3329,blue
W,38,9725,9725,blue
F,55,8312,8312,blue
Z,48,815,815,blue
B,32,4283,4283,blue
R,31,4148,4148,blue
P,69,855,855,blue
H,33,9726,9726,blue
I,28,8617,8617,blue
K,40,7309,7309,blue
I,24,8812,8812,blue
L,21,4315,4315,blue
S,62,1534,1534,blue
V,44,7969,7969,blue
W,69,6916,6916,blue
H,67,8352,8352,blue
Q,55,7392,7392,blue
D,40,557,557,blue
D,34,4305,4305,blue
W,51,2453,2453,blue
E,66,8512,8512,blue
P,33,7697,7697,blue
V,28,6694,6694,blue
S,42,5129,5129,blue
X,33,6718,6718,blue
X,22,7651,7651,blue
J,68,7443,7443,blue
Q,43,5999,5999,blue
W,41,866,866,blue
S,48,6933,6933,blue
E,32,5479,5479,blue
H,39,715,715,blue
C,47,3849,3849,blue
L,65,9830,9830,blue
Y,59,1108,1108,blue
T,26,4375,4375,blue
Y,38,3612,3612,blue
T,64,5296,5296,blue
K,52,5473,5473,blue
W,22,161,161,blue
B,20,9030,9030,blue
U,69,3780,3780,blue
U,69,5168,5168,blue
T,21,5587,5587,blue
V,21,5868,5868,blue
U,69,9908,9908,blue
K,54,9924,9924,blue
D,26,1344,1344,blue
M,54,2003,2003,blue
S,27,4120,4120,blue
L,60,2552,2552,blue
L,51,4028,4028,blue
E,28,3599,3599,blue
V,58,6945,6945,blue
R,25,464,464,blue
R,29,2209,2209,blue
J,67,694,694,blue
J,43,8824,8824,blue
M,26,7376,7376,blue
N,50,9567,9567,blue
V,42,6722,6722,blue
V,63,5726,5726,blue
M,38,124,124,blue
N,54,315,315,blue
T,44,1678,1678,blue
Y,31,2118,2118,blue
U,40,7419,7419,blue
V,20,9468,9468,blue
P,41,6473,6473,blue
A,29,4705,4705,blue
Y,68,2803,2803,blue
D,67,6145,6145,blue
I,38,2110,2110,blue
D,29,9747,9747,blue
Y,26,2586,2586,blue
D,54,653,653,blue
D,29,7123,7123,blue
T,34,942,942,blue
F,37,4623,4623,blue
H,32,3564,3564,blue
S,57,5684,5684,blue
H,51,6294,6294,blue
X,67,3283,3283,blue
A,40,2740,2740,blue
R,51,843,843,blue
N,49,4615,4615,blue
I,69,3364,3364,blue
R,42,1878,1878,blue
A,36,592,592,blue
V,61,321,321,blue
E,37,23,23,blue
S,60,5930,5930,blue
S,21,8580,8580,blue
S,21,1116,1116,blue
D,57,7436,7436,blue
C,51,4125,4125,blue
T,25,1631,1631,blue
A,52,2623,2623,blue
X,40,1318,1318,blue
K,66,4135,4135,blue
W,68,333,333,blue
D,45,4712,4712,blue
V,45,4472,4472,blue
Y,67,5707,5707,blue
W,64,9710,9710,blue
G,54,4581,4581,blue
S,23,6970,6970,blue
I,60,3954,3954,blue
T,41,7582,7582,blue
W,40,3269,3269,blue
F,46,707,707,blue
I,56,3216,3216,blue
B,42,4514,4514,blue
Q,64,1743,1743,blue
R,21,6485,6485,blue
K,46,4343,4343,blue
O,21,4170,4170,blue
U,54,4252,4252,blue
P,63,5291,5291,blue
Q,40,9717,9717,blue
U,41,1050,1050,blue
L,59,8855,8855,blue
I,57,151,151,blue
Q,40,8989,8989,blue
K,67,16,16,blue
I,51,591,591,blue
K,21,4678,4678,blue
W,38,2538,2538,blue
W,38,1264,1264,blue
Q,59,8314,8314,blue
Z,41,6211,6211,blue
C,56,2319,2319,blue
T,66,2438,2438,blue
J,30,8067,8067,blue
J,30,3583,3583,blue
E,48,5806,5806,blue
K,33,4628,4628,blue
W,60,4187,4187,blue
X,31,1488,1488,blue
D,46,2215,2215,blue
O,51,2707,2707,blue
V,46,9603,9603,blue
C,27,5456,5456,blue
W,51,4092,4092,blue
Y,40,8706,8706,blue
T,46,64,64,blue
F,41,2100,2100,blue
E,29,1533,1533,blue
H,65,1083,1083,blue
T,58,2892,2892,blue
M,49,1942,1942,blue
K,69,8756,8756,blue
J,68,5250,5250,blue
O,66,6671,6671,blue
T,51,1830,1830,blue
Z,57,4792,4792,blue
O,33,4169,4169,blue
L,54,9723,9723,blue
Z,67,3518,3518,blue
H,39,5196,5196,blue
Z,67,6422,6422,blue
V,37,7870,7870,blue
E,57,196,196,blue
P,28,8783,8783,blue
C,43,135,135,blue
R,43,7796,7796,blue
Z,30,9234,9234,blue
Q,36,5225,5225,blue
